"","constructor","aircraft_type","airline"
"1","Boeing","777-300","China-Southern-Airlines"
"2","Airbus","A320neo","Loong-Air"
"3","/photos/reg/SP-IKY","/photo/search?tag=12238","/photo/search?tag=Socata+MS892+Rallye+150"
"4","Airbus","A330-200","Iran-Air"
"5","/photo/search?tag=Northrop+%28AIDC%29+F-5F+Tiger+II","/photos/reg/5403","Taiwan-Air-Force"
"6","/photos/aircraft/Embraer/EMB-550","/photos/reg/TC-MLA","/photos/manufacturer/Embraer"
"7","Airbus","A321-200","Wizz-Air-Hungary"
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11","Airbus","A321neo","Wizz-Air-Hungary"
"12","Airbus","A319-100","Air-France"
"13","McDonnell-Douglas","FA-18","Spanish-Air-Force"
"14","Airbus","A320-200","Air-Berlin"
"15","Airbus","A320-200","Lufthansa"
"16","Boeing","737-300","Air-Baltic"
"17","Airbus","A319-100","easyJet-Europe"
"18","Airbus","A320-200","easyJet-Europe"
"19","Airbus","A319-100","British-Airways"
"20","Airbus","A320-200","Vueling"
"21","Airbus","A321-200","Lufthansa"
"22","Airbus","A330-200","Evelop-Airlines"
"23","/photos/aircraft/Cessna/680-Citation","/photos/reg/D-CAWB","/photos/manufacturer/Cessna"
"24","Cessna","560XL-Citation-Excel","NetJets-Europe"
"25","Cessna","525-CitationJet","Private"
"26","Cessna","680-Citation","NetJets-Europe"
"27","/photos/reg/OE-GHB","/photo/search?tag=560-5569","/photo/search?tag=Cessna+560+Citation+XLS"
"28","/photos/aircraft/Raytheon/390-Premier-I","/photos/reg/OM-GLE","/photos/manufacturer/Raytheon"
"29","Dornier","Do-328","Private-Wings-Flugcharter"
"30","/photo/search?tag=Lockheed+Martin+F-16A+Fighting+Falcon","/photos/reg/6677","Taiwan-Air-Force"
"31","Lockheed","P-3-Orion","Taiwan-Air-Force"
"32","Boeing","787-9","American-Airlines"
"33","Boeing","777-300","Air-Canada"
"34","Airbus","A220-300","EgyptAir"
"35","Boeing","737-800","EgyptAir"
"36",NA,NA,NA
"37","Airbus","A320neo","Shenzhen-Airlines"
"38","Airbus","A321-200","TAP-Air-Portugal"
"39","Airbus","A320-200","PIA-Pakistan-International-Airlines"
"40","Airbus","A320-200","flynas"
"41","Boeing","737-400","Tarco-Air"
"42","Embraer","ERJ-170","J-Air"
"43","Boeing","777-200","United-Airlines"
"44","Airbus","A330-200","Hainan-Airlines"
"45","Boeing","737-800","All-Nippon-Airways"
"46","De-Havilland-Canada","DHC-8-400","ANA-Wings"
"47","Boeing","767-300","Japan-Airlines"
"48","/photos/aircraft/Pilatus/PC-12","/photos/reg/B-10HG","/photos/manufacturer/Pilatus"
"49","Airbus","A321-200","CEBU-Pacific-Air"
"50","Boeing","747-8","United-Parcel-Service-%28UPS%29"
"51","Boeing","777-300","American-Airlines"
"52","Bombardier","CRJ-900","Lufthansa-CityLine"
"53","Boeing","767-300","Condor"
"54","Boeing","737-500","KlasJet"
"55","Airbus","A321-200","Lufthansa"
"56","Airbus","A319-100","Germanwings"
"57","Embraer","ERJ-195","Belavia"
"58","Airbus","A320-200","British-Airways"
"59","Boeing","737-800","SpiceJet"
"60","Boeing","777-300","Cathay-Pacific"
"61","Boeing","737-900","Thai-Lion-Air"
"62","Boeing","787-9","Air-Canada"
"63","Airbus","A319-100","Alitalia"
"64","Boeing","747-400","Polar-Air-Cargo"
"65","Boeing","747-400","Asiana-Airlines"
"66","Boeing","747-400","Kalitta-Air"
"67","Airbus","A330-300","China-Airlines"
"68","Boeing","737-300","Jet2"
"69","Boeing","737-800","Transavia"
"70","Embraer","ERJ-190","Flying-Service"
"71","Embraer","ERJ-195","Austrian-Airlines"
"72","Airbus","A321-200","WOW-air"
"73","Airbus","A319-100","easyJet-Europe"
"74","De-Havilland-Canada","DHC-8-400","LOT-Polish-Airlines"
"75","Boeing","777-200","Delta-Air-Lines"
"76","Boeing","767-300","Delta-Air-Lines"
"77","Boeing","747-400","Boeing"
"78","McDonnell-Douglas","DC-10-30","Avient-Aviation"
"79","Ilyushin","Il-76","Aviacon-Zitotrans"
"80","Boeing","767-300","Atlas-Air"
"81","Boeing","767-300","Atlas-Air"
"82","Boeing","767-300","Atlas-Air"
"83","Boeing","767-300","Atlas-Air"
"84","Boeing","767-300","Atlas-Air"
"85","Embraer","ERJ-175","KLM-Cityhopper"
"86","Embraer","ERJ-175","KLM-Cityhopper"
"87","Embraer","ERJ-175","KLM-Cityhopper"
"88","Airbus","A320neo","SAS-Scandinavian-Airlines-Ireland"
"89","Airbus","A320-200","Iberia-Express"
"90","Airbus","A320-200","Lufthansa"
